Surge & Swab;NOV- NOVOS App;1.1.6;3.3.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
Symphony;NOV- NOVOS App;1.0.1;3.2.0;Drilling Automation;a6577410-3bb3-4e0c-94fb-8646be9be5c1
Downlink;NOV- NOVOS App;4.0.2;3.2.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
AutoDrill Gains Control;NOV- NOVOS App;1.0.1;3.2.0;Drilling Optimizer;b264d473-ace2-44b5-8c47-f957f2a08f50
Advanced Drill;NOV- NOVOS App;1.0.1;3.2.0;Drilling Optimizer;efdcfe90-77d2-418e-8e3a-09fdd9dd202f
Configuration Review;NOV- NOVOS App;1.0.0;3.2.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
AlphaRotation;Precision Drilling Company Incorporated;4.4.0;4.4.0;Drilling Automation;52a5f35f-b472-49cc-8cef-7102b60947a3
AlphaRotation;Precision Drilling Company Incorporated;1.4.1;4.2.0;Drilling Automation;52a5f35f-b472-49cc-8cef-7102b60947a3
AlphaDrill;Precision Drilling Company Incorporated;1.4.0;4.2.0;Drilling Optimizer;d2e55c78-0ec8-4bf5-bd5d-2c6fa951a849
AlphaRotation;Precision Drilling Company Incorporated;1.4.0;4.2.0;Drilling Automation;52a5f35f-b472-49cc-8cef-7102b60947a3
PowerManager;Precision Drilling Company Incorporated;4.2.2;4.2.0;Drilling;71c20c07-114c-484f-84c5-906bddd77bd2
PDZ-Torque;Precision Drilling Company Incorporated;4.1.2;4.1.1b;Drilling Optimizer;797e80ae-4bd3-4e58-9ae1-6eec335bc44a
PDWeightCompensator;Precision Drilling Company Incorporated;2.2.4;4.1.1b;Drilling Automation;10a5cebc-81e0-44b2-824b-82e0b48df8f3
PDWeightCompensator;Precision Drilling Company Incorporated;2.2.0;4.1.1b;Drilling Automation;10a5cebc-81e0-44b2-824b-82e0b48df8f3
PDZ-Torque;Precision Drilling Company Incorporated;2.0.0;3.5.0;Drilling;174813c8-e45f-4254-8c0b-b6c315a87b8b
PowerManager;Precision Drilling Company Incorporated;4.0.0;3.3.0;Drilling;71c20c07-114c-484f-84c5-906bddd77bd2
PDPowerManager;Precision Drilling Company Incorporated;2.3.0;3.3.0;Drilling;71c20c07-114c-484f-84c5-906bddd77bd2
PDPowerManager;Precision Drilling Company Incorporated;2.0.0;3.3.0;Drilling;71c20c07-114c-484f-84c5-906bddd77bd2
PDPowerManager;Precision Drilling Company Incorporated;1.0.0;3.3.0;Drilling;71c20c07-114c-484f-84c5-906bddd77bd2
Z-Torque;Precision Drilling Company Incorporated;1.1.0;3.3.0;Drilling Optimizer;4c1e5d78-8d40-4519-af4c-4153732b28dc
Pason;Pason;4.4.8;4.4.0;Drilling;89b05b6f-5116-48c6-889d-a94e3ab64409
EdrConnect;Pason;1.0.2;4.4.0;Drilling;2da12bc2-0848-4703-bf35-c02802626887
Pason;Pason;4.2.1;4.2.0;Drilling Automation;89b05b6f-5116-48c6-889d-a94e3ab64409
Pason;Pason;4.1.7;4.1.0;Drilling;89b05b6f-5116-48c6-889d-a94e3ab64409
Pason;Pason;3.0.0;3.3.0;Drilling;89b05b6f-5116-48c6-889d-a94e3ab64409
Pason;Pason;2.0.0;3.3.0;Drilling Optimizer;89b05b6f-5116-48c6-889d-a94e3ab64409
Pason;Pason;1.4.0;3.3.0;Drilling;8d55ef0c-7d55-418a-bd44-22527904927d
AutoTune;Shell Oil Company;1.0.0;3.3.0;Drilling Optimizer;474e9e57-7453-4485-b036-8cb95dac5f58
DrillTronics;Sekal;1.0.9;4.4.0;Drilling Optimizer;14a18250-bc73-43b6-8fc3-84d7c5484fe5
DrillTronics;Sekal;1.0.8;4.2.0;Drilling Optimizer;14a18250-bc73-43b6-8fc3-84d7c5484fe5
DrillTronics;Sekal;1.0.7;4.2.0;Drilling Optimizer;14a18250-bc73-43b6-8fc3-84d7c5484fe5
DrillTronics;Sekal;1.0.6;4.2.0;Drilling Optimizer;14a18250-bc73-43b6-8fc3-84d7c5484fe5
DWA-EdgeConnector;Halliburton;1.4.3;4.4.0;Drilling Automation;17011f1a-ac98-40dc-bfda-19a2a7c0c121
NOVConnector;Halliburton;1.1.0;3.5.0b;Drilling;76de4c9b-49b2-4fc0-bf98-afa1115e7eed
Frontier-Displacement;MMS Holding - Frontier International;1.0.0;4.2.0;Drilling;6b21f4fa-6e8d-4f19-b2ad-c2a1646cefc1
FrontierMPD;MMS Holding - Frontier International;1.1.2;4.2.0;Pressure Management;70e4be4b-d1cf-4fd1-931b-319893cf6cca
Frontier-FIT;MMS Holding - Frontier International;1.0.1;4.2.0;Wellbore Pressure Management;de5f066c-8582-4aac-bc53-7fb714a1007f
FrontierMPD;MMS Holding - Frontier International;1.1.1;4.2.0;Pressure Management;70e4be4b-d1cf-4fd1-931b-319893cf6cca
FrontierMPD;MMS Holding - Frontier International;1.0.2;4.1.1b;Pressure Management;70e4be4b-d1cf-4fd1-931b-319893cf6cca
DrillMaster_For_SelectShift;Wellbore Technology App Development;1.2.0;4.4.2;Drilling Automation;254c72eb-2a5e-4c69-91d9-a2c7ed512ee8
DrillMaster_For_SelectShift;Wellbore Technology App Development;1.1.0;4.3.0;Drilling Automation;254c72eb-2a5e-4c69-91d9-a2c7ed512ee8
Kaizen;Wellbore Technology App Development;1.6.0;4.3.0;Drilling Optimizer;f2972112-7deb-446c-992b-352962152b13
DrillMaster_For_SelectShift;Wellbore Technology App Development;1.0.0;4.3.0;Drilling Automation;254c72eb-2a5e-4c69-91d9-a2c7ed512ee8
MPowerD-SC;Wellbore Technology App Development;0.0.2;4.2.0;Managed Pressure Drilling;dee1480e-8456-47c0-aeb6-87418cadce12
DrillLink;Wellbore Technology App Development;1.0.1;3.5.0;Drilling Automation;3efb1ba3-3cbb-447e-aed6-5f3af73e95d0
Kaizen;Wellbore Technology App Development;1.4.0;3.3.0;Drilling Optimizer;f2972112-7deb-446c-992b-352962152b13
DrillLink;Wellbore Technology App Development;1.0.1;4.2.0;Drilling Automation;3efb1ba3-3cbb-447e-aed6-5f3af73e95d0
EnvelopeProtection;Wellbore Technology App Development;1.0.6;3.5.0;Drilling Optimizer;5196a8da-c124-4f7e-b210-90ad61e1ff70
Kaizen;Wellbore Technology App Development;1.5.1;4.1.1b;Drilling Optimizer;f2972112-7deb-446c-992b-352962152b13
TrueDrill;Wellbore Technology App Development;2.3.1;3.5.0;Drilling Optimizer;89a0f35a-c5e9-4997-b693-bb16e202c3c2
DrillLink;Wellbore Technology App Development;1.0.0;3.5.0;Drilling Automation;3efb1ba3-3cbb-447e-aed6-5f3af73e95d0
Kaizen;Wellbore Technology App Development;1.3.1;3.3.0;Drilling Optimizer;f2972112-7deb-446c-992b-352962152b13
EnvelopeProtection;Wellbore Technology App Development;0.1.1;3.3.0;Drilling Optimizer;5196a8da-c124-4f7e-b210-90ad61e1ff70
TrueDrill;Wellbore Technology App Development;2.0.5;3.3.0;Drilling Optimizer;418df77b-2af6-4c44-a54d-20c5e91ca6de
Kaizen;Wellbore Technology App Development;1.2.1;3.3.0;Drilling Optimizer;c5d485a6-864c-47ea-8d60-3549f156a4b1
MPD;Wellbore Technology App Development;1.1.0;3.3.0;Wellbore Pressure Management;8500e058-b65f-4d8c-85fe-a72152e6b51b
rotoslide;Roto-Slide Directional Technology;1.0.0;4.2.0;Drilling;69871a77-e946-49b0-9be7-690d593869ec
BESTMPD;Beyond Energy Services and Technology Corp.;1.0.1;4.2.0;Managed Pressure Drilling;cdc2d71a-408b-4c1e-974a-91ff72a879da
SmartSlide;Nabors Drilling;1.0.0;4.4.0;Drilling Automation;d3b419e4-a2d6-4e74-a192-fe7b7bd2b3a0
SmartSlide;Nabors Drilling;1.0.1;4.2.0b;Drilling Automation;d3b419e4-a2d6-4e74-a192-fe7b7bd2b3a0
